schemaname,tablename,indexname,indexdef
migration,listing_features,idx_listing_features_listing,CREATE INDEX idx_listing_features_listing ON migration.listing_features USING btree (listing_id)
migration,listing_features,listing_features_pkey,CREATE UNIQUE INDEX listing_features_pkey ON migration.listing_features USING btree (id)
migration,listing_images,idx_listing_images_listing,CREATE INDEX idx_listing_images_listing ON migration.listing_images USING btree (listing_id)
migration,listing_images,listing_images_pkey,CREATE UNIQUE INDEX listing_images_pkey ON migration.listing_images USING btree (id)
migration,listing_mandate_documents,idx_listing_mandate_docs_listing,CREATE INDEX idx_listing_mandate_docs_listing ON migration.listing_mandate_documents USING btree (listing_id)
migration,listing_mandate_documents,listing_mandate_documents_pkey,CREATE UNIQUE INDEX listing_mandate_documents_pkey ON migration.listing_mandate_documents USING btree (id)
migration,listing_marketing_urls,idx_listing_marketing_urls_listing,CREATE INDEX idx_listing_marketing_urls_listing ON migration.listing_marketing_urls USING btree (listing_id)
migration,listing_marketing_urls,listing_marketing_urls_pkey,CREATE UNIQUE INDEX listing_marketing_urls_pkey ON migration.listing_marketing_urls USING btree (id)
migration,listing_open_house,idx_listing_open_house_listing,CREATE INDEX idx_listing_open_house_listing ON migration.listing_open_house USING btree (listing_id)
migration,listing_open_house,listing_open_house_pkey,CREATE UNIQUE INDEX listing_open_house_pkey ON migration.listing_open_house USING btree (id)
migration,listing_property_areas,idx_listing_property_areas_listing,CREATE INDEX idx_listing_property_areas_listing ON migration.listing_property_areas USING btree (listing_id)
migration,listing_property_areas,listing_property_areas_pkey,CREATE UNIQUE INDEX listing_property_areas_pkey ON migration.listing_property_areas USING btree (id)
migration,listing_show_times,idx_listing_show_times_listing,CREATE INDEX idx_listing_show_times_listing ON migration.listing_show_times USING btree (listing_id)
migration,listing_show_times,listing_show_times_pkey,CREATE UNIQUE INDEX listing_show_times_pkey ON migration.listing_show_times USING btree (id)
migration,listings_prepared,listings_prepared_pkey,CREATE UNIQUE INDEX listings_prepared_pkey ON migration.listings_prepared USING btree (source_listing_id)
