schemaname,tablename,indexname,indexdef
migration,core_listings,core_listings_pkey,CREATE UNIQUE INDEX core_listings_pkey ON migration.core_listings USING btree (id)
migration,core_listings,core_listings_source_listing_id_key,CREATE UNIQUE INDEX core_listings_source_listing_id_key ON migration.core_listings USING btree (source_listing_id)
migration,core_listings,idx_core_listings_address_line,CREATE INDEX idx_core_listings_address_line ON migration.core_listings USING btree (address_line)
migration,core_listings,idx_core_listings_city_trgm,CREATE INDEX idx_core_listings_city_trgm ON migration.core_listings USING gin (city gin_trgm_ops)
migration,core_listings,idx_core_listings_created_at,CREATE INDEX idx_core_listings_created_at ON migration.core_listings USING btree (created_at DESC)
migration,core_listings,idx_core_listings_listing_number,CREATE INDEX idx_core_listings_listing_number ON migration.core_listings USING btree (listing_number)
migration,core_listings,idx_core_listings_market_center_id,CREATE INDEX idx_core_listings_market_center_id ON migration.core_listings USING btree (market_center_id)
migration,core_listings,idx_core_listings_property_type,CREATE INDEX idx_core_listings_property_type ON migration.core_listings USING btree (property_type)
migration,core_listings,idx_core_listings_sale_or_rent,"CREATE INDEX idx_core_listings_sale_or_rent ON migration.core_listings USING btree (lower(TRIM(BOTH FROM COALESCE(sale_or_rent, ''::text))))"
migration,core_listings,idx_core_listings_status_name,"CREATE INDEX idx_core_listings_status_name ON migration.core_listings USING btree (lower(TRIM(BOTH FROM COALESCE(status_name, ''::text))))"
migration,core_listings,idx_core_listings_street_name_trgm,CREATE INDEX idx_core_listings_street_name_trgm ON migration.core_listings USING gin (street_name gin_trgm_ops)
migration,core_listings,idx_core_listings_suburb_trgm,CREATE INDEX idx_core_listings_suburb_trgm ON migration.core_listings USING gin (suburb gin_trgm_ops)
migration,core_market_centers,core_market_centers_pkey,CREATE UNIQUE INDEX core_market_centers_pkey ON migration.core_market_centers USING btree (id)
migration,core_market_centers,core_market_centers_source_market_center_id_key,CREATE UNIQUE INDEX core_market_centers_source_market_center_id_key ON migration.core_market_centers USING btree (source_market_center_id)
migration,core_teams,core_teams_pkey,CREATE UNIQUE INDEX core_teams_pkey ON migration.core_teams USING btree (id)
migration,core_teams,core_teams_source_team_id_key,CREATE UNIQUE INDEX core_teams_source_team_id_key ON migration.core_teams USING btree (source_team_id)
