"source_team_id","source_market_center_id","name","status_name","source_updated_at"
"236","71","Team Precision","Inactive","2025-07-23T12:32:02.3675165"
"237","71","Habitat Hub","Inactive",""
"238","166","Team Brigadoon ","Active",""
"239","158","Team Moolman","Inactive",""
"240","76","Team Atomic","Inactive",""
"241","115","Property Emp1re","Active","2025-02-13T13:23:10.9106608"
"242","187","Team Invest","Active",""
"243","71","Team Alpha","Active","2026-01-19T13:03:27.9337298"
"244","158","Overstrand Property Professionals","Inactive",""
"245","207","Diamond League","Active","2024-12-20T08:13:20.4761548"
"246","184","Athena Property Group","Inactive","2025-07-14T14:12:57.6601443"
"247","47","Millionaire Real Estate Team","Inactive","2025-07-10T06:06:54.2869424"
"250","71","Elite Southern Properties","Inactive",""
"251","210","Team Property Group International","Inactive",""
"252","59","Team Wildlife","Active",""
"253","187","Team Exco","Inactive",""
"254","59","LS Properties","Active","2026-01-27T15:05:57.1482497"
"257","158","PineCrest Property Works","Inactive",""
"258","210","Campfire","Active","2026-02-01T17:57:36.3100000"
"260","184","SPS Mauritius ","Inactive",""
"261","115","Team Denonicus","Active",""
"263","158","Team Van Breda","Active","2024-11-07T18:17:31.2444238"
"264","72","MJ Legacy Properties","Active",""
"265","59","Team Scholtz","Active","2024-11-04T05:09:43.8480871"
"266","71","FPJ Property Group*","Active","2025-08-06T11:51:03.4797806"
"267","47","Team Novius Realty","Inactive","2025-06-11T13:01:33.3165540"
"268","71","NVN Group","Inactive","2025-07-23T12:32:34.7179225"
"269","207","Gramo Real Estates","Inactive",""
"270","234","DAJE Realty","Inactive","2026-01-26T09:38:33.7250211"
"272","124","Villa Mauritius","Inactive","2026-01-26T09:40:18.3687471"
"273","184","RS Atlantic ","Active","2025-09-05T15:38:36.6888614"
"274","124","THE ONE Team Properties SA","Active","2026-03-13T13:06:12.7633333"
"275","234","Team Growth","Active","2026-01-26T08:01:35.3812656"
"276","234","MD Realty","Active","2026-03-10T08:04:38.5200000"
"277","124","Property Matchmaker","Active","2026-03-20T08:31:51.3800000"
"278","234","Winters Realty","Inactive","2026-01-26T09:40:35.8253044"
"279","184","Team Prestige","Inactive","2025-07-25T12:17:32.9857128"
"280","207","Team Succession","Active","2026-04-01T07:26:25.4500000"
"281","184","AP Realty ","Active","2025-07-14T13:34:15.3471707"
"282","184","Property Revolution WC","Inactive",""
"283","158","Team Van Niekerk","Inactive",""
"286","76","MODERN-DAY HANNAH′S","Inactive",""
"287","26","Anouschka Lubbe Realty","Active","2025-05-30T12:38:04.4899620"
"292","115","MAD Realtors","Active",""
"294","234","Anna-Marie & Team","Active","2025-05-15T05:59:54.7915180"
"295","158","Husband & Wife Team ","Inactive",""
"296","26","MJ² Realty","Active",""
"297","234","Easi Peasi","Inactive","2026-01-26T09:39:08.9516664"
"298","26","Team Shabalala","Active",""
"299","184","Winelands Property Group *","Active","2025-09-04T14:37:44.6802467"
"312","28","Armer Realty","Active","2026-02-19T10:33:54.6266667"
"314","71","Team Mackenzie","Active","2025-02-18T14:28:34.5125661"
"315","71","Team KW Karoo","Active","2025-02-18T15:51:39.1462659"
"316","50","VR ESTATES 1","Inactive","2025-05-22T13:49:08.6724973"
"317","47","Noble Realty","Inactive","2025-05-22T07:37:05.8634713"
"318","158","Team Property Matters","Active","2025-07-03T06:59:11.5007603"
"319","71","FPJ Property Group","Inactive","2025-02-21T09:44:00.1758664"
"320","76","JST Real Estate","Active","2025-03-10T13:22:27.9932572"
"321","76","Guardian Homes","Active","2025-03-10T13:26:15.3098491"
"322","76","Kelly Hills Properties","Active","2025-12-11T13:35:17.7317469"
"323","76","Team Halcyon","Active","2025-08-05T10:52:37.9578692"
"337","234","NXT GEN Realty","Inactive","2025-09-15T16:01:54.1464215"
"338","234","Specialised Property Services","Inactive","2025-12-09T14:22:10.1492202"
"339","207","Team Legacy","Active","2025-06-04T11:57:20.6960386"
"340","210","Ingodwe","Inactive","2026-01-21T06:30:29.8639182"
"341","234","OPA Realty","Inactive","2025-11-03T09:48:51.0737131"
"342","28","Focus Realty","Active","2025-06-13T08:11:19.7650266"
"343","158","Team Ignite","Active","2025-07-16T14:29:21.2765988"
"344","158","MMG","Active","2026-04-09T11:23:19.1966667"
"345","207","Living Link","Active","2025-09-02T09:16:18.3326045"
"346","158","Winelands Property Group","Inactive","2026-04-01T12:30:37.9366667"
"347","158","Team Richter","Active","2026-02-05T12:03:44.4800000"
"348","158","Team DLS","Active","2026-04-13T06:50:25.2733333"
"349","76","Team Connect ","Active","2025-10-23T08:46:54.6295692"
"350","71","Sedge-Prop","Active","2025-10-08T09:00:45.1952237"
"351","124","Property Excellence","Active","2026-04-10T06:42:09.4000000"
"352","184","VR ESTATES","Active","2025-11-21T11:45:15.3713747"
"353","76","Iron Willow ","Active","2026-01-04T22:05:17.9009867"
"354","76","Team Northwood","Active","2026-03-30T10:04:37.6233333"
"357","28","Emacity Group","Active","2026-02-19T10:34:20.8500000"
"362","158","Team G","Active","2026-03-10T06:51:59.3200000"
"363","71","Red Dot Realty","Active","2026-03-24T11:26:38.9566667"
