"source_listing_id","url","marketing_url_type_id"
"185360","35b7yr4bKKc","1"
"185367","FbPVf4pOgh0","1"
"185388","09WuJLCVb38","1"
"185461","jfd7L0RiO-8","1"
"185568","u3NKAKp2rgk","1"
"185627","7wPsWSbCC1U","1"
"185645","eykmvoDZurI","1"
"185700","dn75WXMdezY","1"
"185756","E2yk3NcUjEc","1"
"185814","GB","1"
"185904","49hhboMkBkU","1"
"185913","migqDOj05Dk","1"
"185957","_50gctUt5ns","1"
"185994","6w0hMhqgPus","1"
"186027","GoXvWE-eC0w","1"
"186061","Q44VkNWBnw","1"
"186104","Z8SgtUGw3Rc","1"
"186112","3r8tCclEbVQ","1"
"186166","DTSyROGntAA","1"
"186236","bPjLcWB0a5k","1"
"186253","Z3EsB9ZUrWw","1"
"186269","oMNpW7nSw2Q","1"
"186271","LlrwQ4r1cAk","1"
"186275","https://youtu.be/oyVGQVBL-8M","1"
"186295","p1OpfPDgTdU","1"
"186311","3GqwbQ85EYk","1"
"186447","ZkWjOFb2SIk","1"
"186459","ZARD_Y9Ldh0","1"
"186476","MYN5vyUYkd8","1"
"186518","youtu.be/N4n_8kn7dko","1"
"186534","NrhQWGC842A","1"
"186538","fTD_qhQFzks","1"
"186541","UCH2Qvvk6eI","1"
"186598","cQaPPVeKPWI","1"
"186616","D2qMubY6U-A","1"
"186629","2aEtk06oG8g","1"
"186694","hdNjBkJLNfQ","1"
"186720","92osGxrT6lM","1"
"186737","L9bkpAF7gZY","1"
"186743","migqDOj05Dk","1"
"186747","8kx1Hn8y4kA","1"
"186791","GwR3zGw0XJ8","1"
"186812","JSrM1aYrHio","1"
"186841","KgTTviyFRYY","1"
"186925","hVFjmBrihIo","1"
"186933","zooCqPFQPyE","1"
"186939","z2SJMQggZc0","1"
"186952","4YfwmZDVL80","1"
"187015","T1_HM25pZw4","1"
"187029","5KPhYFXWAn8","1"
"187052","/WyEFjUJGdhc","1"
"187081","PfjYLcJ0ip8","1"
"187121","0fCyBFTTuww","1"
"187245","532auPPn0mY","1"
"187268","vu9IQ4PI7vA","1"
"187405","Y46-_CMpY48","1"
"187478","lYM4uA3w-rM","1"
"187483","VEdgA_ys4Dw","1"
"187671","b6FUjQBMSN8","1"
"187711","pUCMVIjwNqk","1"
"187724","Z_IwsuGUxWs","1"
"187783","https://youtu.be/tJvcizSFy1Y","1"
"187790","1yC3Qfe9zhU","1"
"187870","T6K7ES7FG2o","1"
"187881","DgNW1MAujCE","1"
"187884","5mx9e0EalSs","1"
"187887","FlzOmXwDupE","1"
"187912","walwdTjb1u8","1"
"187954","SbqeJFaOgus","1"
"187969","-2LfhwFWtZk","1"
"188028","_A9wTrNcPOA","1"
"188032","nYsl8Bo1TyQ","1"
"188037","iCyD9TOM_HU","1"
"188042","X6LFkXd7FbE","1"
"188092","oRWVo0zFk68","1"
"188103","jAR6ZQWhak0","1"
"188213","qnWX2k3s9s9sA","1"
"188253","I4ruuj2SdeY","1"
"188255","KDRVzHmV4jw","1"
"188303","1DmBNBbya9E","1"
"188317","ea2paOhIgKc","1"
"188320","EW-9R3ACXAU","1"
"188332","LDFbtRUr2m4","1"
"188410","DI8QfR5FIcY","1"
"188434","s3mGHmBlD8U","1"
"188441","tYQ3QmvfzSw","1"
"188451","vJKQ6w8umU0","1"
"188510","S6TYq_gxv5c","1"
"188536","rkFOISFcblk","1"
"188552","/EHyWhjvCnTg","1"
"188604","g5KNPPGwg6A","1"
"188625","o5M41d9MmsU","1"
"188642","/51om_eiK4hg","1"
"188698","8q3NiRtu7hI","1"
"188700","LUQo8Au1UdU","1"
"188702","Idi4T00KaT8","1"
"188712","THKF8u_UrT4","1"
"188716","kAJwqi50bmk","1"
"188718","1ouw2hoAg-4","1"
"188737","d8Nn0sMbkiw","1"
"188765","toPZoarIViQ","1"
"188830","-CWLGuwyaKc","1"
"188834","2VdHKdfRyh0","1"
"188905","https://www.youtube.com/watch?v=bLHaJgGOLKc","1"
"188934","8n3jRP7QiiE","1"
"188944","pN35nGMjUcY","1"
"188995","4xhj6rpf_kQ","1"
"188997","IXNhi0YQM4U","1"
"189004","9orKNLGdGaY","1"
"189029","cPDleQTAHFg","1"
"189033","fvM8vGktMpI","1"
"189073","f1PqY5Y0miA","1"
"189075","h2LbalrnauQ","1"
"189106","jCBNVDuT-8A","1"
"189118","ocNqrFFwQOI","1"
"189153","-4EtMRom7XA","1"
"189235","https://youtu.be/b35OPYlgBy0","1"
"189236","AItInORymEc","1"
"189251","-z1MGJlpcMo","1"
"189339","dsZexNyajr4","1"
"189359","Cio77XBwkg8","1"
"189362","sAKHVpCqR7o","1"
"189366","https://youtu.be/X3gIM9X4dAo","1"
"189423","OLhFXzoQVYQ ","1"
"189441","ovuFDm3X_II","1"
"189442","RUv46UyCX1U","1"
"189446","yXyiPRSzzac","1"
"189489","sNqtO-FWzpg","1"
"189534","gHL3sEC9pNA","1"
"189535","5zSjUGsnku8","1"
"189627","MJxbk_lsiZw","1"
"189638","UBDm2JAgmSM","1"
"189654","GEaRRT46-D8","1"
